"DIAS" "VIEWS" "INSCRITOS" "CANAL"
"712" 712 368000 3006 "inventonahora"
"713" 713 182000 3129 "inventonahora"
"714" 714 170000 3730 "inventonahora"
"715" 715 195000 3796 "inventonahora"
"716" 716 189000 3799 "inventonahora"
"717" 717 183000 4960 "inventonahora"
"718" 718 369000 7048 "inventonahora"
"719" 719 564000 5184 "inventonahora"
"720" 720 276000 4763 "inventonahora"
"721" 721 240000 4157 "inventonahora"
"722" 722 202000 3681 "inventonahora"
"723" 723 178000 4198 "inventonahora"
"724" 724 182000 5045 "inventonahora"
"725" 725 210000 4422 "inventonahora"
"726" 726 203000 2870 "inventonahora"
"727" 727 357000 5509 "inventonahora"
"728" 728 430000 5121 "inventonahora"
"729" 729 258000 4003 "inventonahora"
"730" 730 197000 5762 "inventonahora"
"731" 731 190000 6750 "inventonahora"
"732" 732 247000 6682 "inventonahora"
"733" 733 416000 7982 "inventonahora"
"734" 734 548000 6334 "inventonahora"
"735" 735 315000 4769 "inventonahora"
"736" 736 226000 4810 "inventonahora"
"737" 737 201000 5066 "inventonahora"
"738" 738 202000 5304 "inventonahora"
"739" 739 228000 5664 "inventonahora"
"740" 740 229000 5241 "inventonahora"
"741" 741 211000 4911 "inventonahora"
"742" 742 207000 4682 "inventonahora"
"743" 743 198000 3838 "inventonahora"
"744" 744 171000 4215 "inventonahora"
"745" 745 162000 4682 "inventonahora"
"746" 746 183000 5251 "inventonahora"
"747" 747 403000 6295 "inventonahora"
"748" 748 448000 4489 "inventonahora"
"749" 749 221000 4271 "inventonahora"
"750" 750 202000 4107 "inventonahora"
"751" 751 187000 4009 "inventonahora"
"752" 752 175000 4103 "inventonahora"
"753" 753 169000 4220 "inventonahora"
"754" 754 171000 10142 "inventonahora"
"755" 755 697000 5387 "inventonahora"
"756" 756 296000 5124 "inventonahora"
"757" 757 214000 4782 "inventonahora"
"758" 758 184000 4231 "inventonahora"
"759" 759 164000 4618 "inventonahora"
"760" 760 173000 5401 "inventonahora"
"761" 761 187000 6613 "inventonahora"
"762" 762 207000 5589 "inventonahora"
"763" 763 183000 6690 "inventonahora"
"764" 764 209000 6461 "inventonahora"
"765" 765 204000 4867 "inventonahora"
"766" 766 162000 14611 "inventonahora"
"767" 767 592000 6684 "inventonahora"
"768" 768 331000 6020 "inventonahora"
"769" 769 493000 6420 "inventonahora"
"770" 770 506000 4594 "inventonahora"
"771" 771 236000 4754 "inventonahora"
"772" 772 209000 4260 "inventonahora"
"773" 773 182000 4901 "inventonahora"
"774" 774 183000 5100 "inventonahora"
"775" 775 179000 4987 "inventonahora"
"776" 776 182000 4599 "inventonahora"
"777" 777 167000 4516 "inventonahora"
"778" 778 174000 4884 "inventonahora"
"779" 779 188000 4591 "inventonahora"
"780" 780 166000 4317 "inventonahora"
"781" 781 157000 4070 "inventonahora"
"782" 782 152000 3375 "inventonahora"
"783" 783 137000 3996 "inventonahora"
"784" 784 273000 5502 "inventonahora"
"785" 785 434000 5050 "inventonahora"
"786" 786 262000 4574 "inventonahora"
"787" 787 190000 3701 "inventonahora"
"788" 788 158000 3696 "inventonahora"
"789" 789 150000 3585 "inventonahora"
"790" 790 145000 3671 "inventonahora"
"791" 791 143000 4866 "inventonahora"
"792" 792 164000 5166 "inventonahora"
"793" 793 178000 4952 "inventonahora"
"794" 794 163000 4645 "inventonahora"
"795" 795 154000 4816 "inventonahora"
"796" 796 150000 4439 "inventonahora"
"797" 797 144000 4132 "inventonahora"
"798" 798 140000 5214 "inventonahora"
"799" 799 398000 9328 "inventonahora"
"800" 800 579000 7457 "inventonahora"
"801" 801 303000 5536 "inventonahora"
"802" 802 231000 4523 "inventonahora"
"803" 803 178000 4237 "inventonahora"
"804" 804 175000 4789 "inventonahora"
"805" 805 190000 4321 "inventonahora"
"806" 806 172000 4275 "inventonahora"
"807" 807 166000 4634 "inventonahora"
"808" 808 157000 4455 "inventonahora"
"809" 809 157000 4518 "inventonahora"
"810" 810 145000 4248 "inventonahora"
"811" 811 133000 3830 "inventonahora"
"812" 812 135000 3979 "inventonahora"
"813" 813 142000 4311 "inventonahora"
"814" 814 154000 4217 "inventonahora"
"815" 815 145000 4170 "inventonahora"
"816" 816 131000 3933 "inventonahora"
"817" 817 128000 3896 "inventonahora"
"818" 818 131000 3934 "inventonahora"
"819" 819 131000 3738 "inventonahora"
"820" 820 130000 3969 "inventonahora"
"821" 821 141000 4226 "inventonahora"
"822" 822 142000 4904 "inventonahora"
"823" 823 166000 4513 "inventonahora"
"824" 824 146000 4182 "inventonahora"
"825" 825 132000 3696 "inventonahora"
"826" 826 118000 3716 "inventonahora"
"827" 827 123000 3760 "inventonahora"
"828" 828 126000 3562 "inventonahora"
"829" 829 121000 4013 "inventonahora"
"830" 830 120000 3792 "inventonahora"
"831" 831 120000 3534 "inventonahora"
"832" 832 114000 3873 "inventonahora"
"833" 833 125000 3880 "inventonahora"
"834" 834 131000 3605 "inventonahora"
"835" 835 128000 4050 "inventonahora"
"836" 836 123000 4010 "inventonahora"
"837" 837 119000 3805 "inventonahora"
"838" 838 118000 3451 "inventonahora"
"839" 839 107000 4389 "inventonahora"
"840" 840 115000 4342 "inventonahora"
"841" 841 119000 3993 "inventonahora"
"842" 842 126000 3592 "inventonahora"
"843" 843 116000 3511 "inventonahora"
"844" 844 117000 3685 "inventonahora"
"845" 845 111000 3260 "inventonahora"
"846" 846 98000 3308 "inventonahora"
"847" 847 102000 3438 "inventonahora"
"848" 848 112000 3685 "inventonahora"
"849" 849 116000 4182 "inventonahora"
"850" 850 115000 3785 "inventonahora"
"1545" 1 5674 315 "vocesabia"
"1546" 2 3255 331 "vocesabia"
"1547" 3 613 42 "vocesabia"
"1548" 4 580 21 "vocesabia"
"1549" 5 379 7 "vocesabia"
"1550" 6 303 6 "vocesabia"
"1551" 7 256 16 "vocesabia"
"1552" 8 273 5 "vocesabia"
"1553" 9 648 12 "vocesabia"
"1554" 10 265 4 "vocesabia"
"1555" 11 89 4 "vocesabia"
"1556" 12 280 2 "vocesabia"
"1557" 13 176 5 "vocesabia"
"1558" 14 92 1 "vocesabia"
"1559" 15 2947 85 "vocesabia"
"1560" 16 1563 55 "vocesabia"
"1561" 17 1824 80 "vocesabia"
"1562" 18 24095 526 "vocesabia"
"1563" 19 124583 1158 "vocesabia"
"1564" 20 57396 503 "vocesabia"
"1565" 21 22833 231 "vocesabia"
"1566" 22 32662 333 "vocesabia"
"1567" 23 34192 249 "vocesabia"
"1568" 24 22694 217 "vocesabia"
"1569" 25 10182 175 "vocesabia"
"1570" 26 5945 82 "vocesabia"
"1571" 27 16213 402 "vocesabia"
"1572" 28 16533 436 "vocesabia"
"1573" 29 15608 437 "vocesabia"
"1574" 30 16105 402 "vocesabia"
"1575" 31 5415 110 "vocesabia"
"1576" 32 2739 65 "vocesabia"
"1577" 33 4519 76 "vocesabia"
"1578" 34 3505 56 "vocesabia"
"1579" 35 1230 33 "vocesabia"
"1580" 36 7240 286 "vocesabia"
"1581" 37 7751 252 "vocesabia"
"1582" 38 4255 90 "vocesabia"
"1583" 39 6211 161 "vocesabia"
"1584" 40 3840 146 "vocesabia"
"1585" 41 5519 149 "vocesabia"
"1586" 42 2649 94 "vocesabia"
"1587" 43 5605 109 "vocesabia"
"1588" 44 4401 121 "vocesabia"
"1589" 45 5410 157 "vocesabia"
"1590" 46 7084 385 "vocesabia"
"1591" 47 18894 871 "vocesabia"
"1592" 48 10585 572 "vocesabia"
"1593" 49 6974 395 "vocesabia"
"1594" 50 21345 979 "vocesabia"
"1595" 51 15890 666 "vocesabia"
"1596" 52 14401 596 "vocesabia"
"1597" 53 16990 598 "vocesabia"
"1598" 54 15572 608 "vocesabia"
"1599" 55 7969 252 "vocesabia"
"1600" 56 6343 318 "vocesabia"
"1601" 57 11840 440 "vocesabia"
"1602" 58 8921 418 "vocesabia"
"1603" 59 5671 340 "vocesabia"
"1604" 60 20006 1134 "vocesabia"
"1605" 61 17687 914 "vocesabia"
"1606" 62 12080 646 "vocesabia"
"1607" 63 8241 500 "vocesabia"
"1608" 64 13086 521 "vocesabia"
"1609" 65 9730 366 "vocesabia"
"1610" 66 7254 296 "vocesabia"
"1611" 67 18051 766 "vocesabia"
"1612" 68 18275 805 "vocesabia"
"1613" 69 9263 496 "vocesabia"
"1614" 70 9178 336 "vocesabia"
"1615" 71 9627 289 "vocesabia"
"1616" 72 5702 247 "vocesabia"
"1617" 73 5997 320 "vocesabia"
"1618" 74 30317 1107 "vocesabia"
"1619" 75 39979 1340 "vocesabia"
"1620" 76 19028 842 "vocesabia"
"1621" 77 25355 999 "vocesabia"
"1622" 78 33807 1281 "vocesabia"
"1623" 79 10349 530 "vocesabia"
"1624" 80 13584 597 "vocesabia"
"1625" 81 19689 536 "vocesabia"
"1626" 82 18232 592 "vocesabia"
"1627" 83 15650 479 "vocesabia"
"1628" 84 11421 428 "vocesabia"
"1629" 85 12323 418 "vocesabia"
"1630" 86 12333 405 "vocesabia"
"1631" 87 7958 332 "vocesabia"
"1632" 88 22233 740 "vocesabia"
"1633" 89 13949 525 "vocesabia"
"1634" 90 16018 545 "vocesabia"
"1635" 91 13095 560 "vocesabia"
"1636" 92 11431 511 "vocesabia"
"1637" 93 8021 432 "vocesabia"
"1638" 94 8061 442 "vocesabia"
"1639" 95 18200 501 "vocesabia"
"1640" 96 11068 387 "vocesabia"
"1641" 97 7206 323 "vocesabia"
"1642" 98 7415 331 "vocesabia"
"1643" 99 9705 497 "vocesabia"
"1644" 100 7652 330 "vocesabia"
"1645" 101 7646 339 "vocesabia"
"1646" 102 15236 667 "vocesabia"
"1647" 103 16344 765 "vocesabia"
"1648" 104 17562 838 "vocesabia"
"1649" 105 13192 607 "vocesabia"
"1650" 106 16870 905 "vocesabia"
"1651" 107 11726 530 "vocesabia"
"1652" 108 8827 399 "vocesabia"
"1653" 109 16934 640 "vocesabia"
"1654" 110 17017 584 "vocesabia"
"1655" 111 12037 461 "vocesabia"
"1656" 112 11475 461 "vocesabia"
"1657" 113 11541 625 "vocesabia"
"1658" 114 8925 453 "vocesabia"
"1659" 115 7571 371 "vocesabia"
"1660" 116 20289 657 "vocesabia"
"1661" 117 27206 802 "vocesabia"
"1662" 118 9863 387 "vocesabia"
"1663" 119 7710 316 "vocesabia"
"1664" 120 6995 259 "vocesabia"
"1665" 121 8674 397 "vocesabia"
"1666" 122 7844 380 "vocesabia"
"1667" 123 16327 537 "vocesabia"
"1668" 124 13336 454 "vocesabia"
"1669" 125 8816 365 "vocesabia"
"1670" 126 8281 365 "vocesabia"
"1671" 127 9763 577 "vocesabia"
"1672" 128 12339 655 "vocesabia"
"1673" 129 10573 530 "vocesabia"
"1674" 130 22115 1185 "vocesabia"
"1675" 131 25400 2020 "vocesabia"
"1676" 132 26712 1637 "vocesabia"
"1677" 133 22067 1270 "vocesabia"
"1678" 134 43707 1882 "vocesabia"
"1679" 135 32438 1581 "vocesabia"
"1680" 136 29538 1430 "vocesabia"
"1681" 137 40737 1642 "vocesabia"
"1682" 138 26456 1243 "vocesabia"
"1683" 139 18232 987 "vocesabia"
"1684" 140 17291 948 "vocesabia"
"1685" 141 20996 1249 "vocesabia"
"1686" 142 18267 823 "vocesabia"
"1687" 143 14573 777 "vocesabia"
"1688" 144 22857 857 "vocesabia"
"1689" 145 25556 1050 "vocesabia"
"1690" 146 24080 921 "vocesabia"
"1691" 147 23922 1084 "vocesabia"
"1692" 148 21894 985 "vocesabia"
"1693" 149 21560 909 "vocesabia"
"1694" 150 23643 893 "vocesabia"
"1695" 151 36535 975 "vocesabia"
"1696" 152 23043 952 "vocesabia"
"1697" 153 15590 732 "vocesabia"
"1698" 154 19590 942 "vocesabia"
"1699" 155 17473 741 "vocesabia"
"1700" 156 13217 630 "vocesabia"
"1701" 157 13420 726 "vocesabia"
"1702" 158 13720 796 "vocesabia"
"1703" 159 29784 766 "vocesabia"
"1704" 160 20121 730 "vocesabia"
"1705" 161 19086 550 "vocesabia"
"1706" 162 14507 714 "vocesabia"
"1707" 163 15188 392 "vocesabia"
"1708" 164 11077 520 "vocesabia"
"1709" 165 11477 642 "vocesabia"
"1710" 166 28169 676 "vocesabia"
"1711" 167 18358 827 "vocesabia"
"1712" 168 17605 953 "vocesabia"
"1713" 169 17911 708 "vocesabia"
"1714" 170 14210 675 "vocesabia"
"1715" 171 13716 732 "vocesabia"
"1716" 172 13816 678 "vocesabia"
"1717" 173 23400 559 "vocesabia"
"1718" 174 17379 584 "vocesabia"
"1719" 175 13322 416 "vocesabia"
"1720" 176 19686 353 "vocesabia"
"1721" 177 8608 510 "vocesabia"
"1722" 178 9472 601 "vocesabia"
"1723" 179 10984 699 "vocesabia"
"1724" 180 16025 695 "vocesabia"
"1725" 181 15730 763 "vocesabia"
"1726" 182 16032 586 "vocesabia"
"1727" 183 13348 551 "vocesabia"
"1728" 184 16732 1097 "vocesabia"
"1729" 185 15499 738 "vocesabia"
"1730" 186 23143 821 "vocesabia"
"1731" 187 19416 665 "vocesabia"
"1732" 188 19530 756 "vocesabia"
"1733" 189 19311 700 "vocesabia"
"1734" 190 19250 718 "vocesabia"
"1735" 191 16769 688 "vocesabia"
"1736" 192 13884 677 "vocesabia"
"1737" 193 24968 795 "vocesabia"
"1738" 194 21640 671 "vocesabia"
"1739" 195 16185 613 "vocesabia"
"1740" 196 14261 611 "vocesabia"
"1741" 197 12917 670 "vocesabia"
"1742" 198 11763 554 "vocesabia"
"1743" 199 11434 451 "vocesabia"
"1744" 200 20519 664 "vocesabia"
"1745" 201 17247 750 "vocesabia"
"1746" 202 23494 919 "vocesabia"
"1747" 203 17989 698 "vocesabia"
"1748" 204 16954 595 "vocesabia"
"1749" 205 16890 718 "vocesabia"
"1750" 206 16053 802 "vocesabia"
"1751" 207 25464 1221 "vocesabia"
"1752" 208 20769 1038 "vocesabia"
"1753" 209 22079 1040 "vocesabia"
"1754" 210 33665 2225 "vocesabia"
"1755" 211 32866 1705 "vocesabia"
"1756" 212 25680 1339 "vocesabia"
"1757" 213 21332 1201 "vocesabia"
"1758" 214 52064 3016 "vocesabia"
"1759" 215 35085 2350 "vocesabia"
"1760" 216 32783 1395 "vocesabia"
"1761" 217 41689 2087 "vocesabia"
"1762" 218 58441 2743 "vocesabia"
"1763" 219 37008 2107 "vocesabia"
"1764" 220 27596 1443 "vocesabia"
"1765" 221 52934 2294 "vocesabia"
"1766" 222 44864 1685 "vocesabia"
"1767" 223 31300 1244 "vocesabia"
"1768" 224 46984 1857 "vocesabia"
"1769" 225 54118 2891 "vocesabia"
"1770" 226 52387 1968 "vocesabia"
"1771" 227 41768 1591 "vocesabia"
"1772" 228 64715 2087 "vocesabia"
"1773" 229 51959 2051 "vocesabia"
"1774" 230 45801 1808 "vocesabia"
"1775" 231 59052 2466 "vocesabia"
"1776" 232 53484 2101 "vocesabia"
"1777" 233 35663 1583 "vocesabia"
"1778" 234 34646 1422 "vocesabia"
"1779" 235 61074 1902 "vocesabia"
"1780" 236 43362 1594 "vocesabia"
"1781" 237 36311 1503 "vocesabia"
"1782" 238 46010 1439 "vocesabia"
"1783" 239 41547 1309 "vocesabia"
"1784" 240 31648 1180 "vocesabia"
"1785" 241 24314 1085 "vocesabia"
"1786" 242 36191 1049 "vocesabia"
"1787" 243 30962 1063 "vocesabia"
"1788" 244 30080 1048 "vocesabia"
"1789" 245 39473 1107 "vocesabia"
"1790" 246 40940 1350 "vocesabia"
"1791" 247 29328 987 "vocesabia"
"1792" 248 25111 1000 "vocesabia"
"1793" 249 46886 1037 "vocesabia"
"1794" 250 42093 1254 "vocesabia"
"1795" 251 30530 1200 "vocesabia"
"1796" 252 51750 1465 "vocesabia"
"1797" 253 42638 1620 "vocesabia"
"1798" 254 32281 1489 "vocesabia"
"1799" 255 22894 885 "vocesabia"
"1800" 256 51981 1116 "vocesabia"
"1801" 257 36137 1091 "vocesabia"
"1802" 258 38295 1192 "vocesabia"
"1803" 259 50486 1074 "vocesabia"
"1804" 260 38910 996 "vocesabia"
"1805" 261 29608 1006 "vocesabia"
"1806" 262 28362 1117 "vocesabia"
"1807" 263 51773 1472 "vocesabia"
"1808" 264 42217 1213 "vocesabia"
"1809" 265 36215 1252 "vocesabia"
"1810" 266 57681 1513 "vocesabia"
"1811" 267 53021 1529 "vocesabia"
"1812" 268 46433 1828 "vocesabia"
"1813" 269 43990 1711 "vocesabia"
"1814" 270 63688 1293 "vocesabia"
"1815" 271 50514 1515 "vocesabia"
"1816" 272 45842 1318 "vocesabia"
"1817" 273 71879 1443 "vocesabia"
"1818" 274 60590 1738 "vocesabia"
"1819" 275 89748 2241 "vocesabia"
"1820" 276 78114 2002 "vocesabia"
"1821" 277 98484 2023 "vocesabia"
"1822" 278 62940 1836 "vocesabia"
"1823" 279 53224 1438 "vocesabia"
"1824" 280 79179 1703 "vocesabia"
"1825" 281 89860 2394 "vocesabia"
"1826" 282 98025 2436 "vocesabia"
"1827" 283 76508 2125 "vocesabia"
"1828" 284 102516 1978 "vocesabia"
"1829" 285 70149 1750 "vocesabia"
"1830" 286 48367 1453 "vocesabia"
"1831" 287 82128 1691 "vocesabia"
"1832" 288 80056 2146 "vocesabia"
"1833" 289 121063 2314 "vocesabia"
"1834" 290 97681 3077 "vocesabia"
"1835" 291 130876 3092 "vocesabia"
"1836" 292 89773 2696 "vocesabia"
"1837" 293 77586 2642 "vocesabia"
"1838" 294 103987 2682 "vocesabia"
"1839" 295 101940 2901 "vocesabia"
"1840" 296 150472 2938 "vocesabia"
"1841" 297 97252 2861 "vocesabia"
"1842" 298 125385 3025 "vocesabia"
"1843" 299 86060 2488 "vocesabia"
"1844" 300 74881 2308 "vocesabia"
"1845" 301 101757 2286 "vocesabia"
"1846" 302 89184 2632 "vocesabia"
"1847" 303 125550 2592 "vocesabia"
"1848" 304 93404 2458 "vocesabia"
"1849" 305 111805 1879 "vocesabia"
"1850" 306 76184 1886 "vocesabia"
"1851" 307 68165 1803 "vocesabia"
"1852" 308 63980 1852 "vocesabia"
"1853" 309 103963 2348 "vocesabia"
"1854" 310 100581 2219 "vocesabia"
"1855" 311 111773 2136 "vocesabia"
"1856" 312 134058 2109 "vocesabia"
"1857" 313 84782 1781 "vocesabia"
"1858" 314 89125 1313 "vocesabia"
"1859" 315 90016 1707 "vocesabia"
"1860" 316 96113 1711 "vocesabia"
"1861" 317 134432 2086 "vocesabia"
"1862" 318 80878 1878 "vocesabia"
"1863" 319 117815 1907 "vocesabia"
"1864" 320 91184 1885 "vocesabia"
"1865" 321 77238 1955 "vocesabia"
"1866" 322 119044 1900 "vocesabia"
"1867" 323 86646 1649 "vocesabia"
"1868" 324 136075 1710 "vocesabia"
"1869" 325 79408 1768 "vocesabia"
"1870" 326 130043 1751 "vocesabia"
"1871" 327 97922 1986 "vocesabia"
"1872" 328 98096 1917 "vocesabia"
"1873" 329 114048 1783 "vocesabia"
"1874" 330 98024 1649 "vocesabia"
"1875" 331 135210 1784 "vocesabia"
"1876" 332 86617 1824 "vocesabia"
"1877" 333 140519 1605 "vocesabia"
"1878" 334 86269 1714 "vocesabia"
"1879" 335 83640 1713 "vocesabia"
"1880" 336 121264 1762 "vocesabia"
"1881" 337 100785 1692 "vocesabia"
"1882" 338 135189 1703 "vocesabia"
"1883" 339 204526 2072 "vocesabia"
"1884" 340 154828 1674 "vocesabia"
"1885" 341 124522 1714 "vocesabia"
"1886" 342 120377 1761 "vocesabia"
"1887" 343 143376 1731 "vocesabia"
"1888" 344 99978 1989 "vocesabia"
"1889" 345 158253 2071 "vocesabia"
"1890" 346 90906 1527 "vocesabia"
"1891" 347 163145 1774 "vocesabia"
"1892" 348 95460 1588 "vocesabia"
"1893" 349 104797 1600 "vocesabia"
"1894" 350 149965 1777 "vocesabia"
"1895" 351 107994 1615 "vocesabia"
"1896" 352 81220 1517 "vocesabia"
"1897" 353 141863 1595 "vocesabia"
"1898" 354 140416 1473 "vocesabia"
"1899" 355 83747 1179 "vocesabia"
"1900" 356 77485 1217 "vocesabia"
"1901" 357 127871 1537 "vocesabia"
"1902" 358 102296 1735 "vocesabia"
"1903" 359 145846 1384 "vocesabia"
"1904" 360 82343 1262 "vocesabia"
"1905" 361 145604 1600 "vocesabia"
"1906" 362 100297 1600 "vocesabia"
"1907" 363 84919 1511 "vocesabia"
"1908" 364 113645 1444 "vocesabia"
"1909" 365 99210 1603 "vocesabia"
"1910" 366 166006 1701 "vocesabia"
"1911" 367 94549 1504 "vocesabia"
"1912" 368 123690 2329 "vocesabia"
"1913" 369 105797 2110 "vocesabia"
"1914" 370 93635 1983 "vocesabia"
"1915" 371 119368 1915 "vocesabia"
"1916" 372 116430 1716 "vocesabia"
"1917" 373 146270 1637 "vocesabia"
"1918" 374 95676 1590 "vocesabia"
"1919" 375 159964 1806 "vocesabia"
"1920" 376 120835 1964 "vocesabia"
"1921" 377 114933 1626 "vocesabia"
"1922" 378 128162 1951 "vocesabia"
"1923" 379 123912 1783 "vocesabia"
"1924" 380 176624 2036 "vocesabia"
"1925" 381 126256 2128 "vocesabia"
"1926" 382 181412 1935 "vocesabia"
"1927" 383 115505 1978 "vocesabia"
"1928" 384 107630 1903 "vocesabia"
"1929" 385 150614 1915 "vocesabia"
"1930" 386 119647 1879 "vocesabia"
"1931" 387 165775 1896 "vocesabia"
"1932" 388 107688 1753 "vocesabia"
"1933" 389 175904 1661 "vocesabia"
"1934" 390 116512 1831 "vocesabia"
"1935" 391 107922 1760 "vocesabia"
"1936" 392 100743 1817 "vocesabia"
"1937" 393 107450 2150 "vocesabia"
"1938" 394 132626 2767 "vocesabia"
"1939" 395 127149 2648 "vocesabia"
"1940" 396 122832 6346 "vocesabia"
"1941" 397 107537 3366 "vocesabia"
"1942" 398 114215 2272 "vocesabia"
"1943" 399 103938 2209 "vocesabia"
"1944" 400 85449 1916 "vocesabia"
"1945" 401 134558 1949 "vocesabia"
"1946" 402 80129 1505 "vocesabia"
"1947" 403 140628 1459 "vocesabia"
"1948" 404 135668 2080 "vocesabia"
"1949" 405 107308 2035 "vocesabia"
"1950" 406 162599 2123 "vocesabia"
"1951" 407 125752 2208 "vocesabia"
"1952" 408 196773 2006 "vocesabia"
"1953" 409 116632 2624 "vocesabia"
"1954" 410 150663 2078 "vocesabia"
"1955" 411 114012 2306 "vocesabia"
"1956" 412 106057 2148 "vocesabia"
"1957" 413 169413 2260 "vocesabia"
"1958" 414 125238 2127 "vocesabia"
"1959" 415 190372 2277 "vocesabia"
"1960" 416 105781 1834 "vocesabia"
"1961" 417 237450 3258 "vocesabia"
"1962" 418 155849 3292 "vocesabia"
"1963" 419 153511 3025 "vocesabia"
"1964" 420 203020 2841 "vocesabia"
"1965" 421 196261 3337 "vocesabia"
"1966" 422 273400 4168 "vocesabia"
"1967" 423 150784 3046 "vocesabia"
"1968" 424 227718 2616 "vocesabia"
"1969" 425 148662 2584 "vocesabia"
"1970" 426 127580 2251 "vocesabia"
"1971" 427 190247 2677 "vocesabia"
"1972" 428 186506 2784 "vocesabia"
"1973" 429 303798 2996 "vocesabia"
"1974" 430 192450 3078 "vocesabia"
"1975" 431 311101 3404 "vocesabia"
"1976" 432 211517 3408 "vocesabia"
"1977" 433 189059 3159 "vocesabia"
"1978" 434 278753 3532 "vocesabia"
"1979" 435 253917 3423 "vocesabia"
"1980" 436 315758 3221 "vocesabia"
"1981" 437 202619 3471 "vocesabia"
"1982" 438 308242 3740 "vocesabia"
"1983" 439 197505 3231 "vocesabia"
"1984" 440 184046 3606 "vocesabia"
"1985" 441 256069 3533 "vocesabia"
"1986" 442 247675 3176 "vocesabia"
"1987" 443 338512 3651 "vocesabia"
"1988" 444 255807 4088 "vocesabia"
"1989" 445 356046 4325 "vocesabia"
"1990" 446 263478 3758 "vocesabia"
"1991" 447 224100 3217 "vocesabia"
"1992" 448 289989 3480 "vocesabia"
"1993" 449 248401 4107 "vocesabia"
"1994" 450 381062 3887 "vocesabia"
"1995" 451 242923 3749 "vocesabia"
"1996" 452 332619 4070 "vocesabia"
"1997" 453 342042 4348 "vocesabia"
"1998" 454 217926 3414 "vocesabia"
"1999" 455 201457 3329 "vocesabia"
"2000" 456 332080 4247 "vocesabia"
"2001" 457 426395 4472 "vocesabia"
"2002" 458 281874 4396 "vocesabia"
"2003" 459 385540 4297 "vocesabia"
"2004" 460 265829 4022 "vocesabia"
"2005" 461 203154 3659 "vocesabia"
"2006" 462 351468 4702 "vocesabia"
"2007" 463 348613 5384 "vocesabia"
"2008" 464 428580 5779 "vocesabia"
"2009" 465 319550 4476 "vocesabia"
"2010" 466 301480 4558 "vocesabia"
"2011" 467 280456 4840 "vocesabia"
"2012" 468 233090 4637 "vocesabia"
"2013" 469 389048 5687 "vocesabia"
"2014" 470 442603 6773 "vocesabia"
"2015" 471 445721 5154 "vocesabia"
"2016" 472 256927 3813 "vocesabia"
"2017" 473 264852 4330 "vocesabia"
"2018" 474 291897 4958 "vocesabia"
"2019" 475 364363 4745 "vocesabia"
"2020" 476 445955 5329 "vocesabia"
"2021" 477 429865 5637 "vocesabia"
"2022" 478 434149 5141 "vocesabia"
"2023" 479 523106 6399 "vocesabia"
"2024" 480 440222 5500 "vocesabia"
"2025" 481 413317 4925 "vocesabia"
"2026" 482 294765 5042 "vocesabia"
"2027" 483 399708 4939 "vocesabia"
"2028" 484 477008 6068 "vocesabia"
"2029" 485 491435 5565 "vocesabia"
"2030" 486 761284 3159 "vocesabia"
"2031" 487 446395 4668 "vocesabia"
"2032" 488 380469 4960 "vocesabia"
"2033" 489 295078 4860 "vocesabia"
"2034" 490 387555 5339 "vocesabia"
"2035" 491 411717 5731 "vocesabia"
"2036" 492 445914 5398 "vocesabia"
"2037" 493 388857 5564 "vocesabia"
"2038" 494 482483 5734 "vocesabia"
"2039" 495 459024 6585 "vocesabia"
"2040" 496 334931 5607 "vocesabia"
"2041" 497 455920 5562 "vocesabia"
"2042" 498 552993 7057 "vocesabia"
"2043" 499 523564 5841 "vocesabia"
"2044" 500 433513 5495 "vocesabia"
"2045" 501 532416 5568 "vocesabia"
"2046" 502 569811 5831 "vocesabia"
"2047" 503 439641 6574 "vocesabia"
"2048" 504 507478 6336 "vocesabia"
"2049" 505 595520 8786 "vocesabia"
"2050" 506 529981 6742 "vocesabia"
"2051" 507 472721 6672 "vocesabia"
"2052" 508 576393 7277 "vocesabia"
"2053" 509 524712 6748 "vocesabia"
"2054" 510 420195 7050 "vocesabia"
"2055" 511 498789 6344 "vocesabia"
"2056" 512 576395 7901 "vocesabia"
"2057" 513 484170 6047 "vocesabia"
"2058" 514 403866 5545 "vocesabia"
"2059" 515 562189 6766 "vocesabia"
"2060" 516 509936 6616 "vocesabia"
"2061" 517 431159 7262 "vocesabia"
"2062" 518 510385 8028 "vocesabia"
"2063" 519 530276 9185 "vocesabia"
"2064" 520 627116 8113 "vocesabia"
"2065" 521 934121 14005 "vocesabia"
"2066" 522 587740 9621 "vocesabia"
"2067" 523 604620 6806 "vocesabia"
"2068" 524 459414 6242 "vocesabia"
"2069" 525 527667 5405 "vocesabia"
"2070" 526 503751 5321 "vocesabia"
"2071" 527 505278 4660 "vocesabia"
"2072" 528 471733 5609 "vocesabia"
"2073" 529 400679 5463 "vocesabia"
"2074" 530 398070 5138 "vocesabia"
"2075" 531 456226 11209 "vocesabia"
"2076" 532 464104 11763 "vocesabia"
"2077" 533 339037 6907 "vocesabia"
"2078" 534 505443 5817 "vocesabia"
"2079" 535 532476 6905 "vocesabia"
"2080" 536 519213 5635 "vocesabia"
"2081" 537 522253 5973 "vocesabia"
"2082" 538 437802 5970 "vocesabia"
"2083" 539 760060 5781 "vocesabia"
"2084" 540 600889 5695 "vocesabia"
"2085" 541 518933 5178 "vocesabia"
"2086" 542 534083 5377 "vocesabia"
